DOR Code,LEA Code,Municipality,County,Cherry Sheet FY,Population,DOR Income,DOR Income Per Capita,EQV,EQV Per Capita
001,1,Abington,PLYMOUTH,2020,"16,227","574,456,000","35,401","2,103,633,000","129,638"
002,2,Acton,MIDDLESEX,2020,"23,549","1,643,014,000","69,770","4,597,929,200","195,249"
003,3,Acushnet,BRISTOL,2020,"10,477","319,854,000","30,529","1,214,098,100","115,882"
004,4,Adams,BERKSHIRE,2020,"8,187","185,441,000","22,651","525,826,800","64,227"
005,5,Agawam,HAMPDEN,2020,"28,839","824,403,000","28,586","3,067,519,900","106,367"
006,6,Alford,BERKSHIRE,2020,495,"14,085,000","28,455","279,820,300","565,294"
007,7,Amesbury,ESSEX,2020,"17,414","613,383,000","35,224","2,273,556,700","130,559"
008,8,Amherst,HAMPSHIRE,2020,"39,833","716,838,000","17,996","2,516,974,800","63,188"
009,9,Andover,ESSEX,2020,"35,299","2,659,092,000","75,331","8,453,211,200","239,475"
010,10,Arlington,MIDDLESEX,2020,"44,815","2,537,927,000","56,631","10,614,146,500","236,844"
011,11,Ashburnham,WORCESTER,2020,"6,209","219,074,000","35,283","640,811,300","103,207"
012,12,Ashby,MIDDLESEX,2020,"3,226","99,859,000","30,954","319,398,200","99,008"
013,13,Ashfield,FRANKLIN,2020,"1,723","45,637,000","26,487","248,466,800","144,206"
014,14,Ashland,MIDDLESEX,2020,"17,573","842,937,000","47,968","2,809,780,000","159,892"
015,15,Athol,WORCESTER,2020,"11,654","228,535,000","19,610","730,647,700","62,695"
016,16,Attleboro,BRISTOL,2020,"44,284","1,412,024,000","31,886","4,710,804,300","106,377"
017,17,Auburn,WORCESTER,2020,"16,516","558,984,000","33,845","2,175,990,900","131,750"
018,18,Avon,NORFOLK,2020,"4,498","153,125,000","34,043","855,860,900","190,276"
019,19,Ayer,MIDDLESEX,2020,"8,001","270,599,000","33,821","1,219,304,900","152,394"
020,20,Barnstable,BARNSTABLE,2020,"44,331","1,795,132,000","40,494","14,932,044,600","336,831"
021,21,Barre,WORCESTER,2020,"5,496","139,052,000","25,301","458,372,300","83,401"
022,22,Becket,BERKSHIRE,2020,"1,762","45,016,000","25,548","523,623,000","297,175"
023,23,Bedford,MIDDLESEX,2020,"14,171","912,941,000","64,423","3,957,585,000","279,274"
024,24,Belchertown,HAMPSHIRE,2020,"14,929","518,919,000","34,759","1,554,339,300","104,115"
025,25,Bellingham,NORFOLK,2020,"16,891","591,395,000","35,012","2,504,502,600","148,274"
026,26,Belmont,MIDDLESEX,2020,"25,584","2,154,400,000","84,209","7,850,565,400","306,854"
027,27,Berkley,BRISTOL,2020,"6,658","247,403,000","37,159","880,793,800","132,291"
028,28,Berlin,WORCESTER,2020,"3,020","148,937,000","49,317","642,333,300","212,693"
029,29,Bernardston,FRANKLIN,2020,"2,101","60,442,000","28,768","216,624,000","103,105"
030,30,Beverly,ESSEX,2020,"41,186","1,799,695,000","43,697","6,939,374,700","168,489"
031,31,Billerica,MIDDLESEX,2020,"42,683","1,577,769,000","36,965","6,791,697,200","159,119"
032,32,Blackstone,WORCESTER,2020,"9,104","285,738,000","31,386","972,102,100","106,777"
033,33,Blandford,HAMPDEN,2020,"1,259","37,164,000","29,519","174,764,000","138,812"
034,34,Bolton,WORCESTER,2020,"5,180","386,836,000","74,679","1,087,848,200","210,009"
035,35,Boston,SUFFOLK,2020,"667,137","30,176,018,000","45,232","179,793,040,700","269,499"
036,36,Bourne,BARNSTABLE,2020,"19,681","690,854,000","35,103","4,814,391,000","244,621"
037,37,Boxborough,MIDDLESEX,2020,"5,206","334,206,000","64,196","1,177,906,300","226,259"
038,38,Boxford,ESSEX,2020,"8,253","709,595,000","85,980","1,868,910,500","226,452"
039,39,Boylston,WORCESTER,2020,"4,534","250,318,000","55,209","766,982,300","169,162"
040,40,Braintree,NORFOLK,2020,"37,497","1,551,692,000","41,382","7,187,550,000","191,683"
041,41,Brewster,BARNSTABLE,2020,"9,918","327,643,000","33,035","4,100,984,500","413,489"
042,42,Bridgewater,PLYMOUTH,2020,"27,628","860,796,000","31,157","3,016,111,400","109,169"
043,43,Brimfield,HAMPDEN,2020,"3,741","127,410,000","34,058","439,485,600","117,478"
044,44,Brockton,PLYMOUTH,2020,"95,314","1,972,261,000","20,692","7,675,101,300","80,524"
045,45,Brookfield,WORCESTER,2020,"3,411","94,919,000","27,827","276,658,600","81,108"
046,46,Brookline,NORFOLK,2020,"59,195","4,462,915,000","75,393","24,547,879,100","414,695"
047,47,Buckland,FRANKLIN,2020,"1,864","39,399,461","21,137","216,985,500","116,409"
048,48,Burlington,MIDDLESEX,2020,"25,920","1,196,707,000","46,169","7,011,898,700","270,521"
049,49,Cambridge,MIDDLESEX,2020,"110,402","6,443,305,000","58,362","49,449,365,600","447,903"
050,50,Canton,NORFOLK,2020,"22,817","1,313,754,000","57,578","5,111,198,800","224,008"
051,51,Carlisle,MIDDLESEX,2020,"5,245","572,602,000","109,171","1,544,199,600","294,414"
052,52,Carver,PLYMOUTH,2020,"11,629","348,353,000","29,956","1,394,846,000","119,945"
053,53,Charlemont,FRANKLIN,2020,"1,234","26,057,000","21,116","142,686,500","115,629"
054,54,Charlton,WORCESTER,2020,"13,406","488,509,000","36,440","1,610,444,700","120,129"
055,55,Chatham,BARNSTABLE,2020,"6,143","329,994,000","53,719","7,374,670,100","1,200,500"
056,56,Chelmsford,MIDDLESEX,2020,"35,149","1,870,365,000","53,212","5,849,923,100","166,432"
057,57,Chelsea,SUFFOLK,2020,"39,398","707,032,000","17,946","3,534,210,300","89,705"
058,58,Cheshire,BERKSHIRE,2020,"3,158","92,867,000","29,407","308,072,500","97,553"
059,59,Chester,HAMPDEN,2020,"1,372","30,751,000","22,413","125,043,400","91,140"
060,60,Chesterfield,HAMPSHIRE,2020,"1,249","27,973,000","22,396","157,870,800","126,398"
061,61,Chicopee,HAMPDEN,2020,"56,741","1,114,483,000","19,642","3,998,413,400","70,468"
062,62,Chilmark,DUKES,2020,916,"49,205,000","53,717","3,358,805,700","3,666,818"
063,63,Clarksburg,BERKSHIRE,2020,"1,659","38,787,000","23,380","128,418,100","77,407"
064,64,Clinton,WORCESTER,2020,"13,805","418,699,000","30,330","1,385,425,600","100,357"
065,65,Cohasset,NORFOLK,2020,"8,393","966,615,000","115,169","3,075,090,800","366,388"
066,66,Colrain,FRANKLIN,2020,"1,647","41,772,000","25,362","179,350,200","108,895"
067,67,Concord,MIDDLESEX,2020,"19,830","2,291,122,000","115,538","6,572,447,900","331,440"
068,68,Conway,FRANKLIN,2020,"1,881","68,131,000","36,221","270,902,400","144,020"
069,69,Cummington,HAMPSHIRE,2020,871,"23,201,000","26,637","130,242,300","149,532"
070,70,Dalton,BERKSHIRE,2020,"6,661","209,679,000","31,479","616,299,000","92,523"
071,71,Danvers,ESSEX,2020,"27,849","1,159,162,000","41,623","5,183,902,300","186,143"
072,72,Dartmouth,BRISTOL,2020,"34,715","1,186,773,000","34,186","5,885,151,300","169,528"
073,73,Dedham,NORFOLK,2020,"25,397","1,400,955,000","55,162","5,319,862,700","209,468"
074,74,Deerfield,FRANKLIN,2020,"5,015","202,027,000","40,285","711,485,200","141,871"
075,75,Dennis,BARNSTABLE,2020,"14,005","469,358,000","33,514","7,229,652,400","516,219"
076,76,Dighton,BRISTOL,2020,"7,399","259,884,000","35,124","1,019,183,000","137,746"
077,77,Douglas,WORCESTER,2020,"8,728","323,988,000","37,121","1,022,069,000","117,102"
078,78,Dover,NORFOLK,2020,"5,961","1,369,067,000","229,671","2,646,446,400","443,960"
079,79,Dracut,MIDDLESEX,2020,"31,352","1,061,254,000","33,850","3,647,155,100","116,329"
080,80,Dudley,WORCESTER,2020,"11,587","316,207,000","27,290","1,016,192,300","87,701"
081,81,Dunstable,MIDDLESEX,2020,"3,435","187,583,000","54,609","551,243,500","160,478"
082,82,Duxbury,PLYMOUTH,2020,"15,483","1,441,663,000","93,113","4,265,308,000","275,483"
083,83,East Bridgewater,PLYMOUTH,2020,"14,343","478,509,000","33,362","1,751,566,500","122,120"
084,84,East Brookfield,WORCESTER,2020,"2,187","67,904,000","31,049","253,517,600","115,920"
085,87,East Longmeadow,HAMPDEN,2020,"16,213","666,532,000","41,111","1,986,089,000","122,500"
086,85,Eastham,BARNSTABLE,2020,"4,915","166,437,000","33,863","2,976,889,500","605,674"
087,86,Easthampton,HAMPSHIRE,2020,"16,030","463,815,000","28,934","1,554,415,700","96,969"
088,88,Easton,BRISTOL,2020,"23,908","1,157,143,000","48,400","3,609,247,100","150,964"
089,89,Edgartown,DUKES,2020,"4,306","225,215,000","52,303","8,635,274,400","2,005,405"
090,90,Egremont,BERKSHIRE,2020,"1,210","29,606,000","24,468","447,001,500","369,423"
091,91,Erving,FRANKLIN,2020,"1,776","35,067,000","19,745","895,171,300","504,038"
092,92,Essex,ESSEX,2020,"3,661","192,525,000","52,588","867,344,300","236,915"
093,93,Everett,MIDDLESEX,2020,"46,050","943,864,000","20,497","5,767,100,400","125,236"
094,94,Fairhaven,BRISTOL,2020,"16,140","459,024,000","28,440","2,181,956,700","135,189"
095,95,Fall River,BRISTOL,2020,"88,777","1,527,800,000","17,209","5,571,429,500","62,758"
096,96,Falmouth,BARNSTABLE,2020,"31,524","1,219,065,000","38,671","12,342,275,400","391,520"
097,97,Fitchburg,WORCESTER,2020,"40,545","785,408,000","19,371","2,522,862,600","62,224"
098,98,Florida,BERKSHIRE,2020,730,"13,603,000","18,634","123,293,200","168,895"
099,99,Foxborough,NORFOLK,2020,"17,456","913,977,000","52,359","3,309,738,100","189,605"
100,100,Framingham,MIDDLESEX,2020,"71,209","2,490,382,000","34,973","9,773,587,600","137,252"
101,101,Franklin,NORFOLK,2020,"33,147","1,619,056,000","48,845","5,401,593,400","162,959"
102,102,Freetown,BRISTOL,2020,"9,179","329,541,000","35,902","1,416,388,700","154,308"
103,103,Gardner,WORCESTER,2020,"20,333","417,473,000","20,532","1,296,897,500","63,783"
104,104,Aquinnah,DUKES,2020,328,"5,883,000","17,936","793,211,500","2,418,328"
105,105,Georgetown,ESSEX,2020,"8,584","427,856,000","49,843","1,323,463,100","154,178"
106,106,Gill,FRANKLIN,2020,"1,492","37,780,000","25,322","160,146,100","107,337"
107,107,Gloucester,ESSEX,2020,"29,781","1,095,719,000","36,793","6,746,082,000","226,523"
108,108,Goshen,HAMPSHIRE,2020,"1,070","13,716,000","12,819","154,513,800","144,405"
109,109,Gosnold,DUKES,2020,77,"2,627,000","34,117","232,178,900","3,015,310"
110,110,Grafton,WORCESTER,2020,"18,540","927,942,000","50,051","2,596,289,300","140,037"
111,111,Granby,HAMPSHIRE,2020,"6,352","201,537,000","31,728","650,048,400","102,338"
112,112,Granville,HAMPDEN,2020,"1,622","53,526,000","33,000","203,242,200","125,303"
113,113,Great Barrington,BERKSHIRE,2020,"6,907","275,383,000","39,870","1,480,946,600","214,412"
114,114,Greenfield,FRANKLIN,2020,"17,450","379,146,000","21,728","1,502,607,800","86,109"
115,115,Groton,MIDDLESEX,2020,"11,296","785,661,000","69,552","1,781,386,100","157,701"
116,116,Groveland,ESSEX,2020,"6,750","262,508,000","38,890","976,713,800","144,698"
117,117,Hadley,HAMPSHIRE,2020,"5,352","176,458,000","32,970","1,040,640,500","194,440"
118,118,Halifax,PLYMOUTH,2020,"7,834","278,929,000","35,605","953,128,900","121,666"
119,119,Hamilton,ESSEX,2020,"8,179","603,914,000","73,837","1,613,578,500","197,283"
120,120,Hampden,HAMPDEN,2020,"5,223","211,163,000","40,429","638,652,000","122,277"
121,121,Hancock,BERKSHIRE,2020,710,"8,772,000","12,355","327,036,000","460,614"
122,122,Hanover,PLYMOUTH,2020,"14,424","782,342,000","54,239","2,802,906,000","194,322"
123,123,Hanson,PLYMOUTH,2020,"10,630","371,451,000","34,944","1,373,623,000","129,221"
124,124,Hardwick,WORCESTER,2020,"3,008","58,000,000","19,282","247,900,500","82,414"
125,125,Harvard,WORCESTER,2020,"6,573","457,708,000","69,635","1,289,986,700","196,255"
126,126,Harwich,BARNSTABLE,2020,"12,180","438,184,000","35,976","5,697,974,900","467,814"
127,127,Hatfield,HAMPSHIRE,2020,"3,298","110,596,000","33,534","563,178,100","170,764"
128,128,Haverhill,ESSEX,2020,"62,765","1,787,098,000","28,473","6,609,657,600","105,308"
129,129,Hawley,FRANKLIN,2020,331,"5,820,000","17,583","49,044,100","148,169"
130,130,Heath,FRANKLIN,2020,693,"9,002,000","12,990","93,228,900","134,529"
131,131,Hingham,PLYMOUTH,2020,"23,120","2,453,158,000","106,105","7,407,974,100","320,414"
132,132,Hinsdale,BERKSHIRE,2020,"1,959","62,930,000","32,124","316,994,600","161,814"
133,133,Holbrook,NORFOLK,2020,"11,050","328,909,000","29,766","1,276,774,300","115,545"
134,134,Holden,WORCESTER,2020,"18,645","806,332,000","43,247","2,377,246,900","127,501"
135,135,Holland,HAMPDEN,2020,"2,506","77,571,000","30,954","332,392,700","132,639"
136,136,Holliston,MIDDLESEX,2020,"14,525","792,863,000","54,586","2,669,635,100","183,796"
137,137,Holyoke,HAMPDEN,2020,"40,684","668,260,000","16,426","2,142,470,000","52,661"
138,138,Hopedale,WORCESTER,2020,"5,955","241,418,000","40,540","776,426,200","130,382"
139,139,Hopkinton,MIDDLESEX,2020,"16,674","1,403,283,000","84,160","3,865,959,600","231,856"
140,140,Hubbardston,WORCESTER,2020,"4,596","157,905,000","34,357","467,728,400","101,769"
141,141,Hudson,MIDDLESEX,2020,"19,864","735,853,000","37,045","2,755,165,600","138,701"
142,142,Hull,PLYMOUTH,2020,"10,491","405,857,000","38,686","2,266,165,500","216,010"
143,143,Huntington,HAMPSHIRE,2020,"2,181","65,518,000","30,040","192,215,800","88,132"
144,144,Ipswich,ESSEX,2020,"13,804","691,350,000","50,083","2,987,460,300","216,420"
145,145,Kingston,PLYMOUTH,2020,"13,301","553,599,000","41,621","2,120,211,600","159,402"
146,146,Lakeville,PLYMOUTH,2020,"11,338","445,087,000","39,256","1,774,669,700","156,524"
147,147,Lancaster,WORCESTER,2020,"8,166","288,244,000","35,298","954,886,800","116,934"
148,148,Lanesborough,BERKSHIRE,2020,"2,991","78,164,000","26,133","402,579,400","134,597"
149,149,Lawrence,ESSEX,2020,"80,231","1,241,902,000","15,479","4,238,762,700","52,832"
150,150,Lee,BERKSHIRE,2020,"5,816","166,520,000","28,631","973,498,900","167,383"
151,151,Leicester,WORCESTER,2020,"11,334","331,359,000","29,236","985,402,100","86,942"
152,152,Lenox,BERKSHIRE,2020,"4,988","226,629,000","45,435","1,265,446,400","253,698"
153,153,Leominster,WORCESTER,2020,"41,569","1,170,639,000","28,161","3,785,321,000","91,061"
154,154,Leverett,FRANKLIN,2020,"1,845","74,600,000","40,434","273,488,400","148,232"
155,155,Lexington,MIDDLESEX,2020,"33,394","3,541,165,000","106,042","12,008,478,900","359,600"
156,156,Leyden,FRANKLIN,2020,713,"25,146,000","35,268","92,167,800","129,268"
157,157,Lincoln,MIDDLESEX,2020,"7,491","950,308,000","126,860","2,292,229,800","305,998"
158,158,Littleton,MIDDLESEX,2020,"9,912","491,226,000","49,559","1,969,238,900","198,672"
159,159,Longmeadow,HAMPDEN,2020,"15,898","1,139,259,000","71,661","2,157,229,000","135,692"
160,160,Lowell,MIDDLESEX,2020,"110,699","2,374,391,000","21,449","8,192,976,800","74,011"
161,161,Ludlow,HAMPDEN,2020,"21,472","583,946,000","27,196","2,154,384,900","100,335"
162,162,Lunenburg,WORCESTER,2020,"11,241","415,497,000","36,963","1,405,368,400","125,022"
163,163,Lynn,ESSEX,2020,"92,457","1,944,277,000","21,029","7,895,464,600","85,396"
164,164,Lynnfield,ESSEX,2020,"12,761","958,736,000","75,130","3,324,301,800","260,505"
165,165,Malden,MIDDLESEX,2020,"61,068","1,612,935,000","26,412","7,590,689,100","124,299"
166,166,Manchester By The Sea,ESSEX,2020,"5,366","702,892,000","130,990","2,526,294,800","470,797"
167,167,Mansfield,BRISTOL,2020,"23,687","1,100,621,000","46,465","3,826,144,000","161,529"
168,168,Marblehead,ESSEX,2020,"20,517","1,684,798,000","82,117","6,182,649,400","301,343"
169,169,Marion,PLYMOUTH,2020,"5,086","279,647,000","54,984","1,693,499,100","332,973"
170,170,Marlborough,MIDDLESEX,2020,"39,818","1,424,311,000","35,771","5,880,360,000","147,681"
171,171,Marshfield,PLYMOUTH,2020,"25,709","1,199,390,000","46,653","5,107,817,200","198,678"
172,172,Mashpee,BARNSTABLE,2020,"14,154","535,123,000","37,807","5,605,682,100","396,049"
173,173,Mattapoisett,PLYMOUTH,2020,"6,267","348,114,000","55,547","1,829,130,600","291,867"
174,174,Maynard,MIDDLESEX,2020,"10,676","406,214,000","38,049","1,386,638,200","129,884"
175,175,Medfield,NORFOLK,2020,"12,718","1,208,641,000","95,034","2,801,486,200","220,277"
